path	deprecated	experimental	chrome	chrome_android
css.properties.inset-block-end	false	false	87	87
css.properties.inset-block-start	false	false	87	87
css.properties.inset-inline	false	false	87	87
css.properties.inset-inline-end	false	false	87	87
css.properties.inset-inline-start	false	false	87	87
css.properties.isolation	false	false	41	41
css.properties.justify-content	false	false	29	29
css.properties.justify-content.flex_context	false	false	52	52
css.properties.justify-content.flex_context.left_right	false	false	93	93
css.properties.justify-content.flex_context.safe_unsafe	false	false	115	115
css.properties.justify-content.flex_context.space-evenly	false	false	60	60
css.properties.justify-content.flex_context.start_end	false	false	93	93
css.properties.justify-content.flex_context.stretch	false	false	57	57
css.properties.justify-content.grid_context	false	false	57	52
css.properties.justify-items	false	false	52	52
css.properties.justify-items.flex_context	false	false	52	52
css.properties.justify-items.grid_context	false	false	57	57
css.properties.justify-self	false	false	57	57
css.properties.justify-self.flex_context	false	false	57	57
css.properties.justify-self.grid_context	false	false	57	57
css.properties.justify-tracks	false	true	false	false
css.properties.left	false	false	1	18
css.properties.letter-spacing	false	false	1	18
css.properties.letter-spacing.svg	false	false	1	18
css.properties.line-break	false	false	58	58
css.properties.line-height	false	false	1	18
css.properties.line-height-step	false	true	60	60
css.properties.list-style	false	false	1	18
css.properties.list-style.symbols	false	false	91	91
css.properties.list-style-image	false	false	1	18
css.properties.list-style-position	false	false	1	18
css.properties.list-style-type	false	false	1	18
css.properties.list-style-type.afar	false	false	91	91
css.properties.list-style-type.amharic	false	false	91	91
css.properties.list-style-type.amharic-abegede	false	false	91	91
css.properties.list-style-type.arabic-indic	false	false	6	18
css.properties.list-style-type.armenian	false	false	1	18
css.properties.list-style-type.asterisks	false	false	91	91
css.properties.list-style-type.bengali	false	false	6	18
css.properties.list-style-type.binary	false	false	91	91
css.properties.list-style-type.cambodian	false	false	6	18
css.properties.list-style-type.circle	false	false	1	18
css.properties.list-style-type.cjk-decimal	false	false	91	91
css.properties.list-style-type.cjk-earthly-branch	false	false	6	18
css.properties.list-style-type.cjk-heavenly-stem	false	false	6	18
css.properties.list-style-type.cjk-ideographic	false	false	1	18
css.properties.list-style-type.decimal	false	false	1	18
css.properties.list-style-type.decimal-leading-zero	false	false	1	18
css.properties.list-style-type.devanagari	false	false	6	18
css.properties.list-style-type.disc	false	false	1	18
css.properties.list-style-type.disclosure-closed	false	false	89	89
css.properties.list-style-type.disclosure-open	false	false	89	89
css.properties.list-style-type.ethiopic	false	false	91	91
css.properties.list-style-type.ethiopic-abegede	false	false	91	91
css.properties.list-style-type.ethiopic-abegede-am-et	false	false	91	91
css.properties.list-style-type.ethiopic-abegede-gez	false	false	91	91
css.properties.list-style-type.ethiopic-abegede-ti-er	false	false	91	91
css.properties.list-style-type.ethiopic-abegede-ti-et	false	false	91	91
css.properties.list-style-type.ethiopic-halehame	false	false	45	45
css.properties.list-style-type.ethiopic-halehame-aa-er	false	false	91	91
css.properties.list-style-type.ethiopic-halehame-aa-et	false	false	91	91
css.properties.list-style-type.ethiopic-halehame-am	false	false	45	45
css.properties.list-style-type.ethiopic-halehame-am-et	false	false	91	91
